Designator,Mid X,Mid Y,Rotation,Layer
_402,196.84,-88.92,270.0,top
_401,168.9,-88.92,270.0,top
_400,181.6,-88.92,270.0,top
_399,212.08,-73.68,0.0,top
_398,143.5,-71.14,270.0,top
_397,158.74,-71.14,270.0,top
_396,146.04,-68.6,270.0,top
_395,151.12,-71.14,270.0,top
_394,153.66,-68.6,270.0,top
_393,151.12,-68.6,270.0,top
_392,153.66,-71.14,270.0,top
_391,148.58,-68.6,270.0,top
_390,146.04,-71.14,270.0,top
_389,148.58,-71.14,270.0,top
_388,158.74,-68.6,270.0,top
_387,156.2,-71.14,270.0,top
_386,184.14,-71.14,270.0,top
_385,143.5,-68.6,270.0,top
_384,171.44,-71.14,270.0,top
_383,204.46,-71.14,270.0,top
_382,186.68,-71.14,270.0,top
_381,156.2,-68.6,270.0,top
_380,161.28,-71.14,270.0,top
_379,179.06,-71.14,270.0,top
_378,207.0,-71.14,270.0,top
_377,189.22,-71.14,270.0,top
_376,196.84,-71.14,270.0,top
_375,163.82,-71.14,270.0,top
_374,173.98,-71.14,270.0,top
_373,201.92,-71.14,270.0,top
_372,166.36,-71.14,270.0,top
_371,194.3,-71.14,270.0,top
_370,191.76,-71.14,270.0,top
_369,181.6,-71.14,270.0,top
_368,176.52,-71.14,270.0,top
_367,168.9,-71.14,270.0,top
_366,199.38,-71.14,270.0,top
_365,194.3,-68.6,270.0,top
_364,171.44,-68.6,270.0,top
_363,173.98,-68.6,270.0,top
_362,209.54,-71.14,270.0,top
_361,163.82,-68.6,270.0,top
_360,189.22,-68.6,270.0,top
_359,161.28,-68.6,270.0,top
_358,186.68,-68.6,270.0,top
_357,166.36,-68.6,270.0,top
_356,201.92,-68.6,270.0,top
_355,199.38,-68.6,270.0,top
_354,209.54,-68.6,270.0,top
_353,191.76,-68.6,270.0,top
_352,176.52,-68.6,270.0,top
_351,204.46,-68.6,270.0,top
_350,184.14,-68.6,270.0,top
_349,179.06,-68.6,270.0,top
_348,181.6,-68.6,270.0,top
_347,168.9,-68.6,270.0,top
_346,207.0,-68.6,270.0,top
_345,196.84,-68.6,270.0,top
_344,158.75,-101.62,270.0,top
_343,143.51,-101.62,270.0,top
_342,146.05,-101.62,270.0,top
_341,146.05,-99.08,270.0,top
_340,148.59,-101.62,270.0,top
_339,151.13,-101.62,270.0,top
_338,158.75,-99.08,270.0,top
_337,146.05,-96.53,270.0,top
_336,143.51,-96.53,270.0,top
_335,153.67,-99.08,270.0,top
_334,151.13,-99.08,270.0,top
_333,148.59,-99.08,270.0,top
_332,153.67,-101.62,270.0,top
_331,143.51,-99.08,270.0,top
_330,156.21,-101.62,270.0,top
_329,158.75,-96.53,270.0,top
_328,153.67,-96.53,270.0,top
_327,151.13,-96.53,270.0,top
_326,148.59,-96.53,270.0,top
_325,171.45,-101.62,270.0,top
_324,184.15,-101.62,270.0,top
_323,163.83,-101.62,270.0,top
_322,204.47,-101.62,270.0,top
_321,173.99,-101.62,270.0,top
_320,186.69,-101.62,270.0,top
_319,156.21,-99.08,270.0,top
_318,166.37,-101.62,270.0,top
_317,161.29,-101.62,270.0,top
_316,201.93,-101.62,270.0,top
_315,194.31,-101.62,270.0,top
_314,179.07,-101.62,270.0,top
_313,207.01,-101.62,270.0,top
_312,196.85,-101.62,270.0,top
_311,189.23,-101.62,270.0,top
_310,156.21,-96.53,270.0,top
_309,191.77,-101.62,270.0,top
_308,176.53,-101.62,270.0,top
_307,168.91,-101.62,270.0,top
_306,181.61,-101.62,270.0,top
_305,209.55,-101.62,270.0,top
_304,199.39,-101.62,270.0,top
_303,161.29,-99.08,270.0,top
_302,173.99,-99.08,270.0,top
_301,186.69,-99.08,270.0,top
_300,163.83,-99.08,270.0,top
_299,171.45,-99.08,270.0,top
_298,189.23,-99.08,270.0,top
_297,194.31,-99.08,270.0,top
_296,204.47,-99.08,270.0,top
_295,166.37,-99.08,270.0,top
_294,201.93,-99.08,270.0,top
_293,209.55,-99.08,270.0,top
_292,199.39,-99.08,270.0,top
_291,184.15,-99.08,270.0,top
_290,191.77,-99.08,270.0,top
_289,168.91,-99.08,270.0,top
_288,176.53,-99.08,270.0,top
_287,161.29,-96.53,270.0,top
_286,179.07,-99.08,270.0,top
_285,181.61,-99.08,270.0,top
_284,207.01,-99.08,270.0,top
_283,171.45,-96.53,270.0,top
_282,163.83,-96.53,270.0,top
_281,166.37,-96.53,270.0,top
_280,173.99,-96.53,270.0,top
_279,184.15,-96.53,270.0,top
_278,186.69,-96.53,270.0,top
_277,199.39,-96.53,270.0,top
_276,204.47,-96.53,270.0,top
_275,189.23,-96.53,270.0,top
_274,209.55,-96.53,270.0,top
_273,196.85,-99.08,270.0,top
_272,194.31,-96.53,270.0,top
_271,201.93,-96.53,270.0,top
_270,191.77,-96.53,270.0,top
_269,207.01,-96.53,270.0,top
_268,176.53,-96.53,270.0,top
_267,196.85,-96.53,270.0,top
_266,179.07,-96.53,270.0,top
_265,181.61,-96.53,270.0,top
_264,168.91,-96.53,270.0,top
_263,151.13,-109.25,270.0,top
_262,143.51,-109.25,270.0,top
_261,148.59,-109.25,270.0,top
_260,158.75,-109.25,270.0,top
_259,146.05,-106.71,270.0,top
_258,146.05,-109.25,270.0,top
_257,156.21,-109.25,270.0,top
_256,153.67,-109.25,270.0,top
_255,143.51,-106.71,270.0,top
_254,158.75,-106.71,270.0,top
_253,148.59,-106.71,270.0,top
_252,146.05,-104.16,270.0,top
_251,158.75,-104.16,270.0,top
_250,143.51,-104.16,270.0,top
_249,153.67,-104.16,270.0,top
_248,153.67,-106.71,270.0,top
_247,151.13,-106.71,270.0,top
_246,156.21,-106.71,270.0,top
_245,151.13,-104.16,270.0,top
_244,148.59,-104.16,270.0,top
_243,171.45,-109.25,270.0,top
_242,163.83,-109.25,270.0,top
_241,173.99,-109.25,270.0,top
_240,184.15,-109.25,270.0,top
_239,204.47,-109.25,270.0,top
_238,186.69,-109.25,270.0,top
_237,156.21,-104.16,270.0,top
_236,166.37,-109.25,270.0,top
_235,161.29,-109.25,270.0,top
_234,201.93,-109.25,270.0,top
_233,189.23,-109.25,270.0,top
_232,194.31,-109.25,270.0,top
_231,179.07,-109.25,270.0,top
_230,207.01,-109.25,270.0,top
_229,196.85,-109.25,270.0,top
_228,181.61,-109.25,270.0,top
_227,168.91,-109.25,270.0,top
_226,176.53,-109.25,270.0,top
_225,209.55,-109.25,270.0,top
_224,199.39,-109.25,270.0,top
_223,191.77,-109.25,270.0,top
_222,166.37,-106.71,270.0,top
_221,161.29,-106.71,270.0,top
_220,173.99,-106.71,270.0,top
_219,209.55,-106.71,270.0,top
_218,201.93,-106.71,270.0,top
_217,186.69,-106.71,270.0,top
_216,163.83,-106.71,270.0,top
_215,184.15,-106.71,270.0,top
